subject_code,party_name,rule,confidence,path,evidence_source,human_class
,,,,,,"判定标准: true_omission=真漏报(系统发现年报未披露的实质关联,系统价值) / reasonable_undisclosed=合理未披露(不满足披露实质标准) / system_error=系统误报(重名/通道未排干净/阈值过松)"
000006,深圳机场,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000089,stock_hold_control_cninfo None,
000006,特力B,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 200025,stock_hold_control_cninfo None,
000006,马信琪,R1,high,马信琪 -HOLDS [5.09%]-> 000006,stock_ggcg_em 2014-07-18,
000006,深深房B,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 200029,stock_hold_control_cninfo None,
000006,深粮B,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 200019,stock_hold_control_cninfo None,
000006,深纺织B,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 200045,stock_hold_control_cninfo None,
000006,力合科创,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 002243,stock_hold_control_cninfo None,
000006,深粮控股,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000019,stock_hold_control_cninfo None,
000006,特发信息,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000070,stock_hold_control_cninfo None,
000006,深圳能源,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000027,stock_hold_control_cninfo None,
000006,深圳燃气,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 601139,stock_hold_control_cninfo None,
000006,深圳市国有资产监督管理局,R1,high,深圳市国有资产监督管理局 -HOLDS [19.53%]-> 000006,stock_ggcg_em 2010-07-29,
000006,深圳市国资委及远致投资,R1,high,深圳市国资委及远致投资 -HOLDS [32.0%]-> 000006,stock_ggcg_em 2014-04-29,
000006,深赛格B,R2,high,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 200058,stock_hold_control_cninfo None,
000008,文炳荣,R1,high,文炳荣 -HOLDS [10.88%]-> 000008,stock_ggcg_em 2016-11-24,
000008,福瑞医科,R3,low,000008 -HELD_BY [23.25%]-> 中国国投高新产业投资有限公司 | 000008 -HELD_BY [23.67%]-> 中国国投高新产业投资有限公司,stock_ggcg_em 2020-06-23,
000008,同益中,R2,high,000008 -CONTROLLED_BY [20.0%]-> 国家开发投资集团有限公司 | 国家开发投资集团有限公司 -CONTROLS-> 688722,stock_hold_control_cninfo None,
000008,亚普股份,R2,high,000008 -CONTROLLED_BY [20.0%]-> 国家开发投资集团有限公司 | 国家开发投资集团有限公司 -CONTROLS-> 603013,stock_hold_control_cninfo None,
000014,北矿科技,R3,low,000014 -HELD_BY [11.51%]-> 中科汇通(深圳)股权投资基金有限公司 | 中科汇通(深圳)股权投资基金有限公司 -HOLDS [9.3%]-> 600980,stock_ggcg_em 2017-06-16,
000014,国投丰乐,R3,low,000014 -HELD_BY [11.51%]-> 中科汇通(深圳)股权投资基金有限公司 | 中科汇通(深圳)股权投资基金有限公司 -HOLDS [5.01%]-> 000713,stock_ggcg_em 2017-06-16,
000014,大晟文化,R3,low,000014 -HELD_BY [5.54%]-> 中科汇通(深圳)股权投资基金有限公司 | 000014 -HELD_BY [8.91%]-> 中科汇通(深圳)股权投资基金有限公司,stock_ggcg_em 2015-07-29,
000014,朗科科技,R3,low,000014 -HELD_BY [5.02%]-> 中科汇通(深圳)股权投资基金有限公司 | 000014 -HELD_BY [9.05%]-> 中科汇通(深圳)股权投资基金有限公司,stock_ggcg_em 2015-07-17,
000014,三变科技,R3,low,000014 -HELD_BY [11.51%]-> 中科汇通(深圳)股权投资基金有限公司 | 中科汇通(深圳)股权投资基金有限公司 -HOLDS [5.25%]-> 002112,stock_ggcg_em 2017-06-16,
000014,国华退,R3,low,000014 -HELD_BY [5.54%]-> 中科汇通(深圳)股权投资基金有限公司 | 000014 -HELD_BY [8.91%]-> 中科汇通(深圳)股权投资基金有限公司,stock_ggcg_em 2015-07-29,
000014,祥龙电业,R3,low,000014 -HELD_BY [11.51%]-> 中科汇通(深圳)股权投资基金有限公司 | 中科汇通(深圳)股权投资基金有限公司 -HOLDS [5.54%]-> 600769,stock_ggcg_em 2017-06-16,
000014,富邦新材,R3,low,000014 -HELD_BY [11.51%]-> 中科汇通(深圳)股权投资基金有限公司 | 中科汇通(深圳)股权投资基金有限公司 -HOLDS [5.02%]-> 600768,stock_ggcg_em 2017-06-16,
000014,大连圣亚,R3,low,000014 -HELD_BY [11.51%]-> 中科汇通(深圳)股权投资基金有限公司 | 中科汇通(深圳)股权投资基金有限公司 -HOLDS [5.01%]-> 600593,stock_ggcg_em 2017-06-16,
000014,天晟新材,R3,low,000014 -HELD_BY [11.51%]-> 中科汇通(深圳)股权投资基金有限公司 | 中科汇通(深圳)股权投资基金有限公司 -HOLDS [5.01%]-> 300169,stock_ggcg_em 2017-06-16,
